region,week_end_date,historical_endogeneous,wILI
X,2009-03-28,1.9902799999999998,1.9902799999999998
X,2009-04-04,1.72423,1.72423
X,2009-04-11,1.60355,1.60355
X,2009-04-18,1.2841799999999999,1.2841799999999999
X,2009-04-25,1.2932,1.2932
X,2009-05-02,2.74012,2.74012
X,2009-05-09,2.22391,2.22391
X,2009-05-16,1.76657,1.76657
X,2009-05-23,1.9217099999999998,1.9217099999999998
X,2009-05-30,1.8611,1.8611
X,2009-06-06,1.68423,1.68423
X,2009-06-13,1.7393,1.7393
X,2009-06-20,1.83001,1.83001
X,2009-06-27,1.58128,1.58128
X,2009-07-04,1.4917200000000002,1.4917200000000002
X,2009-07-11,1.389,1.389
X,2009-07-18,1.34702,1.34702
X,2009-07-25,1.16056,1.16056
X,2009-08-01,1.2085,1.2085
X,2009-08-08,1.15544,1.15544
X,2009-08-15,1.1451799999999999,1.1451799999999999
X,2009-08-22,1.4664,1.4664
X,2009-08-29,2.38017,2.38017
X,2009-09-05,3.4468099999999997,3.4468099999999997
X,2009-09-12,4.05315,4.05315
X,2009-09-19,4.26621,4.26621
X,2009-09-26,4.21579,4.21579
X,2009-10-03,4.8861,4.8861
X,2009-10-10,6.06923,6.06923
X,2009-10-17,7.09467,7.09467
X,2009-10-24,7.7151,7.7151
X,2009-10-31,7.55134,7.55134
X,2009-11-07,6.6711800000000006,6.6711800000000006
X,2009-11-14,5.20633,5.20633
X,2009-11-21,4.04477,4.04477
X,2009-11-28,3.4972199999999996,3.4972199999999996
X,2009-12-05,2.69023,2.69023
X,2009-12-12,2.47119,2.47119
X,2009-12-19,2.44773,2.44773
X,2009-12-26,2.64594,2.64594
X,2010-01-02,2.61567,2.61567
X,2010-01-09,1.9071200000000001,1.9071200000000001
X,2010-01-16,1.8673799999999998,1.8673799999999998
X,2010-01-23,1.8807200000000002,1.8807200000000002
X,2010-01-30,1.96908,1.96908
X,2010-02-06,2.11387,2.11387
X,2010-02-13,2.09695,2.09695
X,2010-02-20,1.90294,1.90294
X,2010-02-27,1.9695099999999999,1.9695099999999999
X,2010-03-06,1.9233099999999999,1.9233099999999999
X,2010-03-13,1.8965900000000002,1.8965900000000002
X,2010-03-20,1.7518099999999999,1.7518099999999999
X,2010-03-27,1.5263200000000001,1.5263200000000001
X,2010-04-03,1.4957200000000002,1.4957200000000002
X,2010-04-10,1.2231299999999998,1.2231299999999998
X,2010-04-17,1.17754,1.17754
X,2010-04-24,1.09112,1.09112
X,2010-05-01,1.11958,1.11958
X,2010-05-08,1.08169,1.08169
X,2010-05-15,1.12497,1.12497
X,2010-05-22,1.06197,1.06197
X,2010-05-29,1.08909,1.08909
X,2010-06-05,1.1776,1.1776
X,2010-06-12,0.97493,0.97493
X,2010-06-19,0.987132,0.987132
X,2010-06-26,0.995991,0.995991
X,2010-07-03,0.904726,0.904726
X,2010-07-10,0.9419270000000001,0.9419270000000001
X,2010-07-17,0.880415,0.880415
X,2010-07-24,0.842615,0.842615
X,2010-07-31,0.858382,0.858382
X,2010-08-07,0.83383,0.83383
X,2010-08-14,0.8474370000000001,0.8474370000000001
X,2010-08-21,0.888273,0.888273
X,2010-08-28,0.765372,0.765372
X,2010-09-04,0.91858,0.91858
X,2010-09-11,1.01432,1.01432
X,2010-09-18,1.01233,1.01233
